code,label,sources,files
G558200,Dystrophic cardiomyopathy,DialogAdd,~V4001a.htm
G558300,Sarcoid heart disease,DialogAdd,~V4001a.htm
G55z.00,Cardiomyopathy NOS,DialogAdd,~V4001a.htm
G573,,PatientData,~V4001b.htm
G573.00,Atrial fibrillation and flutter,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4001a.htm
G573000,Atrial Fibrillation,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm
G573200,Paroxysmal atrial fibrillation,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4001a.htm
G573300,Non-rheumatic atrial fibrillation,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4001a.htm
G573400,Permanent atrial fibrillation,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4001a.htm
G573500,Persistent atrial fibrillation,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4001a.htm
G573z00,Atrial Fibrillation and flutter NOS,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm
G58,,PatientData,~V4001b.htm|~V40039.htm|~V4003c.htm|~V40631.htm|~V40636.htm
G58..00,Heart failure,DialogAdd|PatientData,~V40015.htm
G581,,PatientData,~V40018.htm
G581.00,Left ventricular failure,DialogAdd|PatientData,~V40015.htm
G581000,Acute left ventricular failure,DialogAdd|PatientData,~V4001a.htm
G58z.00,Heart failure NOS,DialogAdd|PatientData,~V40015.htm
G5yy,,PatientData,~V40039.htm|~V40636.htm
G5yy900,Left ventricular systolic dysfunction,DialogAdd|PatientData,~V40015.htm|~V4001a.htm|~V4001b.htm|~V4003c.htm|~V40631.htm
G5yyD00,Left ventricular cardiac dysfunction,DialogAdd|PatientData,~V4003c.htm|~V40631.htm
G60z.00,,PatientData,~V40018.htm
G61,,PatientData,~V0.htm|~V40017.htm|~V40018.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G61..00,Intracerebral Haemorrhage,DialogAdd,~V40017.htm|~V40018.htm
G610,,PatientData,~V40017.htm
G610.00,Cortical Haemorrhage,DialogAdd,~V40017.htm
G611,,PatientData,~V40017.htm
G611.00,Internal capsule haemorrhage,DialogAdd,~V40017.htm
G612,,PatientData,~V40017.htm
G612.00,Basal nucleus haemorrhage,DialogAdd,~V40017.htm
G613,,PatientData,~V40017.htm
G614,,PatientData,~V40017.htm
G614.00,Pntine haemorrhage,DialogAdd,~V40017.htm
G615,,PatientData,~V40017.htm
G615.00,Bulbar Haemorrhage,DialogAdd,~V40017.htm
G616,,PatientData,~V40017.htm
G616.00,External capsule haemorrhage,DialogAdd,~V40017.htm
G618,,PatientData,~V40017.htm
G618.00,"Intracerebral haemorrhage, multiple localised",DialogAdd,~V40017.htm
G61X,,PatientData,~V40017.htm
G61X.00,Intracerebral haemorrhage in hemisphere,DialogAdd,~V40017.htm
G61X0,,PatientData,~V40017.htm
G61X000,Left sided intracerebral haemorrhage,DialogAdd,~V40017.htm
G61X1,,PatientData,~V40017.htm
G61X100,Right sided intracerebral haemorrhage,DialogAdd,~V40017.htm
G61z,,PatientData,~V40017.htm
G61z.00,Intracerebral haemorrhage NOS,DialogAdd,~V40017.htm
G634.00,,PatientData,~V40018.htm
G63y,,PatientData,~V40018.htm
G63y0,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
G63y000,,PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G63y1,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
G63y100,,PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G64,,PatientData,~V0.htm|~V40017.htm|~V40018.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G64..00,Cerebral arterial occlusion,DialogAdd,~V40017.htm|~V40018.htm
G640,,PatientData,~V40017.htm
G640.00,Cerebral thrombosis,DialogAdd,~V40017.htm
G6400,,PatientData,~V40017.htm
G640000,Cerebral infartion due to thrombosis of cerebral arteries,DialogAdd,~V40017.htm
G641,,PatientData,~V40017.htm
G641.00,Cerebral embolism,DialogAdd,~V40017.htm
G6410,,PatientData,~V40017.htm
G641000,Cerebralinfarction due to embolism of cerebral arteries,DialogAdd,~V40017.htm
G64z.00,Cerebral infarction NOS,DialogAdd,~V40017.htm|~V40018.htm
G64z0,,PatientData,~V40017.htm
G64z1,,PatientData,~V40017.htm
G64z100,Wallenberg syndrome,DialogAdd,~V40017.htm
G64z200,Left sided cerebral infarction,DialogAdd,~V40017.htm
G64z300,Right sided cerebral infarction,DialogAdd,~V40017.htm
G64z400,Infarction of basla ganglia,DialogAdd,~V40017.htm
G65,,PatientData,~V0.htm|~V40017.htm|~V40018.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G65..00,Transisent cerebral ischaemia,DialogAdd,~V40017.htm
G650.00,Basilar artery syndrome,DialogAdd|PatientData,~V40017.htm|~V40018.htm
G651.00,Vertebral artery syndrome,DialogAdd,~V40017.htm
G651000,Vertebro-basilar artery syndrome,DialogAdd,~V40017.htm
G653.00,Cartiod artery syndrome hemispheric,DialogAdd,~V40017.htm
G654.00,Multiple and bilateral artey syndromes,DialogAdd,~V40017.htm
G655.00,Transisent global amensia,DialogAdd,~V40017.htm
G656.00,Vertebrobasilar insufficiency,DialogAdd,~V40017.htm
G65y.00,Other transisent cerebral ischaemia,DialogAdd,~V40017.htm
G65z.00,Transisent cerebral ischaemia NOS,DialogAdd,~V40017.htm
G65z000,Impending cerebral ischaemia,DialogAdd,~V40017.htm
G65z100,Intermittent cerebral ischaemia,DialogAdd,~V40017.htm
G65zz00,Transient cerebral ischaemia NOS,DialogAdd|PatientData,~V40017.htm|~V40018.htm
G66,,PatientData,~V0.htm|~V40017.htm|~V40018.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G66..00,Stroke and cerebrovascular accident unspecified,DialogAdd,~V40017.htm|~V40018.htm
G660.00,Middle cerebral artery syndrome,DialogAdd,~V40017.htm
G661.00,Anterior cerebral artery syndrome,DialogAdd,~V40017.htm
G662.00,Posterior cerebral artery syndrome,DialogAdd,~V40017.htm
G663.00,Brain stem stroke syndrome,DialogAdd,~V40017.htm
G664.00,Cerebellar stroke syndrome,DialogAdd,~V40017.htm
G665,,PatientData,~V4003d.htm|~V40627.htm
G665.00,Pure motor lacunar syndrome,DialogAdd,~V40017.htm
G666,,PatientData,~V4003d.htm|~V40627.htm
G666.00,Pure sensory lacunar syndrome,DialogAdd,~V40017.htm
G667.00,Left sided CVA,DialogAdd,~V40017.htm
G668.00,Right sided CVA,DialogAdd,~V40017.htm
G67,,PatientData,~V40018.htm
G670.00,Cerebral stheroscelerosis,DialogAdd,~V40017.htm
G6760,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
G676000,,PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G6W,,PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G6W..00,Cerebral infaraction due to unsp occuls/stenos precerebr arteries,DialogAdd|PatientData,~V40017.htm|~V40018.htm
G6X,,PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
G6X..00,,PatientData,~V40018.htm
G73,,PatientData,~V40039.htm|~V40636.htm
G73..00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73..11,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73..12,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73..13,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G734,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73y.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73z,,PatientData,~V40018.htm
G73z.00,PVD NOS,DialogAdd|PatientData,~V0.htm|~V40018.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73z0,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G73zz,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
G87..00,Hypotension,DialogAdd|PatientData,~V40015.htm|~V40017.htm|~V40018.htm|~V4001a.htm
G8y0,,PatientData,~V40017.htm
G8y0.00,Haemorrhage NOS,DialogAdd,~V40017.htm
Gyu2,,PatientData,~V40033.htm|~V40612.htm
Gyu2.00,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
Gyu20,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
Gyu2000,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
Gyu3,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40039.htm|~V4003e.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40636.htm|~V40638.htm
Gyu3400,,PatientData,~V4003e.htm|~V40638.htm
Gyu3600,,PatientData,~V4003e.htm|~V40638.htm
Gyu6,,PatientData,~V40017.htm|~V40018.htm|~V40039.htm|~V40636.htm
Gyu6200,Other intracerebral haemorrhage,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40627.htm
Gyu63,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
Gyu6300,Cerebral infarct due to unspcf occlusn or sten/cerebrl artrs,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
Gyu64,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
Gyu6400,Other cerebral infarction,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
Gyu65,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
Gyu6500,Occlussion and stenosis of precerebral arteries,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
Gyu66,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
Gyu6600,Occlusion and stenosis of other cerebral arteries,DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
Gyu6F,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4003d.htm|~V4060f.htm|~V40611.htm|~V40624.htm|~V40627.htm
Gyu6F00,"Intracerebral haemorrhage in hemisphere , unspec",DialogAdd|PatientData,~V0.htm|~V40017.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm
Gyu6G,,PatientData,~V4003d.htm|~V40627.htm
